transect_id,fid,veg_type,site_name,size_categ,X,Y,perimeter_m,area_ha,fvc_perc,imp_surf,distance_m,ref_temp_max,temp_oC,cooling_inten_oC
2,119,Forest,GobatMickChurch_Cultivated,Large-sized,336245.5981,1293092.619,933.5,6.2,0,0,190,32.6,28.3,4.3
2,120,Forest,GobatMickChurch_Cultivated,Large-sized,336243.2913,1293088.183,933.5,6.2,0,0,195,32.6,28.4,4.2
2,121,Forest,GobatMickChurch_Cultivated,Large-sized,336240.9845,1293083.747,933.5,6.2,0,0,200,32.6,28.4,4.2
2,122,Forest,GobatMickChurch_Cultivated,Large-sized,336238.6778,1293079.311,933.5,6.2,0,0,205,32.6,28.5,4.1
2,123,Forest,GobatMickChurch_Cultivated,Large-sized,336236.371,1293074.875,933.5,6.2,0,0,210,32.6,28.5,4.1
2,124,Forest,GobatMickChurch_Cultivated,Large-sized,336234.0642,1293070.439,933.5,6.2,0,0,215,32.6,28.6,4
2,125,Forest,GobatMickChurch_Cultivated,Large-sized,336231.7575,1293066.003,933.5,6.2,0,0,220,32.6,28.6,4
2,126,Forest,GobatMickChurch_Cultivated,Large-sized,336229.4507,1293061.567,933.5,6.2,0,0,225,32.6,28.8,3.8
2,127,Forest,GobatMickChurch_Cultivated,Large-sized,336227.1302,1293057.14,933.5,6.2,0,0,230,32.6,28.9,3.7
2,128,Forest,GobatMickChurch_Cultivated,Large-sized,336223.8084,1293053.403,933.5,6.2,0,0,235,32.6,29.1,3.5
2,129,Forest,GobatMickChurch_Cultivated,Large-sized,336220.4866,1293049.666,933.5,6.2,0,0,240,32.6,29.3,3.3
2,130,Forest,GobatMickChurch_Cultivated,Large-sized,336217.1648,1293045.929,933.5,6.2,0,0,245,32.6,29.4,3.2
2,131,Forest,GobatMickChurch_Cultivated,Large-sized,336213.843,1293042.192,933.5,6.2,0,0,250,32.6,29.4,3.2
2,132,Forest,GobatMickChurch_Cultivated,Large-sized,336210.5211,1293038.455,933.5,6.2,0,0,255,32.6,29.5,3.1
2,133,Forest,GobatMickChurch_Cultivated,Large-sized,336207.1993,1293034.718,933.5,6.2,0,0,260,32.6,29.6,3
2,134,Forest,GobatMickChurch_Cultivated,Large-sized,336203.8775,1293030.981,933.5,6.2,0,0,265,32.6,29.7,2.9
2,135,Forest,GobatMickChurch_Cultivated,Large-sized,336200.5557,1293027.244,933.5,6.2,0,0,270,32.6,29.8,2.8
2,136,Forest,GobatMickChurch_Cultivated,Large-sized,336197.2339,1293023.507,933.5,6.2,0,0,275,32.6,29.8,2.8
2,137,Forest,GobatMickChurch_Cultivated,Large-sized,336193.912,1293019.769,933.5,6.2,0,0,280,32.6,29.8,2.8
2,138,Forest,GobatMickChurch_Cultivated,Large-sized,336191.1806,1293015.596,933.5,6.2,0,0,285,32.6,29.9,2.7
2,139,Forest,GobatMickChurch_Cultivated,Large-sized,336188.5803,1293011.325,933.5,6.2,0,0,290,32.6,30,2.6
2,140,Forest,GobatMickChurch_Cultivated,Large-sized,336185.9799,1293007.055,933.5,6.2,0,0,295,32.6,30,2.6
2,141,Forest,GobatMickChurch_Cultivated,Large-sized,336183.3796,1293002.784,933.5,6.2,0,0,300,32.6,30.1,2.5
2,142,Forest,GobatMickChurch_Cultivated,Large-sized,336180.7793,1292998.513,933.5,6.2,0,0,305,32.6,30.2,2.4
2,143,Forest,GobatMickChurch_Cultivated,Large-sized,336178.179,1292994.243,933.5,6.2,0,0,310,32.6,30.2,2.4
2,144,Forest,GobatMickChurch_Cultivated,Large-sized,336175.5786,1292989.972,933.5,6.2,0,0,315,32.6,30.2,2.4
2,145,Forest,GobatMickChurch_Cultivated,Large-sized,336172.9783,1292985.701,933.5,6.2,0,0,320,32.6,30.2,2.4
2,146,Forest,GobatMickChurch_Cultivated,Large-sized,336170.378,1292981.431,933.5,6.2,0,0,325,32.6,30.2,2.4
2,147,Forest,GobatMickChurch_Cultivated,Large-sized,336167.7776,1292977.16,933.5,6.2,0,0,330,32.6,30.2,2.4
2,148,Forest,GobatMickChurch_Cultivated,Large-sized,336165.1773,1292972.89,933.5,6.2,0,0,335,32.6,30.2,2.4
2,149,Forest,GobatMickChurch_Cultivated,Large-sized,336162.577,1292968.619,933.5,6.2,0,0,340,32.6,30.2,2.4
2,150,Forest,GobatMickChurch_Cultivated,Large-sized,336159.9766,1292964.348,933.5,6.2,0,0,345,32.6,30.3,2.3
2,151,Forest,GobatMickChurch_Cultivated,Large-sized,336157.3763,1292960.078,933.5,6.2,0,0,350,32.6,30.4,2.2
2,152,Forest,GobatMickChurch_Cultivated,Large-sized,336154.776,1292955.807,933.5,6.2,0,0,355,32.6,30.5,2.1
2,153,Forest,GobatMickChurch_Cultivated,Large-sized,336152.1757,1292951.536,933.5,6.2,0,0,360,32.6,30.5,2.1
